t,linear,quadratic,sin
0,2.0,0.0,0.0
1,3.5,0.5,0.24740395925452294
2,5.0,2.0,0.479425538604203
3,6.5,4.5,0.6816387600233341
4,8.0,8.0,0.8414709848078965
5,9.5,12.5,0.9489846193555862
6,11.0,18.0,0.9974949866040544
7,12.5,24.5,0.9839859468739369
8,14.0,32.0,0.9092974268256817
9,15.5,40.5,0.7780731968879212
10,17.0,50.0,0.5984721441039565
11,18.5,60.5,0.38166099205233167
12,20.0,72.0,0.1411200080598672
13,21.5,84.5,-0.10819513453010837
14,23.0,98.0,-0.35078322768961984
15,24.5,112.5,-0.5715613187423437
16,26.0,128.0,-0.7568024953079282
17,27.5,144.5,-0.8949893582285835
18,29.0,162.0,-0.977530117665097
19,30.5,180.5,-0.999292788975378
20,32.0,200.0,-0.9589242746631385
21,33.5,220.5,-0.858934493426592
22,35.0,242.0,-0.7055403255703919
23,36.5,264.5,-0.5082790774992584
24,38.0,288.0,-0.27941549819892586
25,39.5,312.5,-0.03317921654755682
26,41.0,338.0,0.21511998808781552
27,42.5,364.5,0.4500440737806176
28,44.0,392.0,0.6569865987187891
29,45.5,420.5,0.8230808790115055
30,47.0,450.0,0.9379999767747389
